summary, host, categories, startTime, endTime, location, description, status, URL
"Practice","Hockey Club","Athletics",2022-01-19 21:00:00.0,2022-01-19 22:30:00.0,"Flo Fabrizio (JMC)","PSB Hockey practice  Hosted by: Hockey Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7419361",CONFIRMED,https://behrend.campuslabs.com/engage/event/7419361
"SGA General Meeting","Student Government Association","GroupBusiness, Late Night, Meeting, Leadership Development, On-Campus",2022-01-20 18:00:00.0,2022-01-20 19:00:00.0,"Reed 114","It is the obligation of the Student Government Association of Penn State Erie, The Behrend College to fulfill the duties outlined by out constitution. As such SGA General Meetings are open to all members of the Penn State Erie, The Behrend College to voice their opinions on any and all matters they see fit.During these meetings the Senate will conduct Business, report on projects, and hold open forum for any issues that may arise on in the campus community.  Hosted by: Student Government Association  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7612232",CONFIRMED,https://behrend.campuslabs.com/engage/event/7612232
"Cosmic Game Night","Alpha Sigma Tau","Social, Fraternity and Sorority Life",2022-01-20 18:00:00.0,2022-01-20 19:00:00.0,"Reed 113","Get to know the sisters of Alpha Sigma Tau while playing some fun games!   Hosted by: Alpha Sigma Tau  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7696856",CONFIRMED,https://behrend.campuslabs.com/engage/event/7696856
"Niagara Hall Game Night","Niagara Hall","Social",2022-01-20 19:00:00.0,2022-01-20 20:00:00.0,"Niagara Hall","Join the Niagara RA's for a game night. Enter in a raffle and win prizes.   Hosted by: Niagara Hall  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7689203",CONFIRMED,https://behrend.campuslabs.com/engage/event/7689203
"Event Forecast: Calling for Hot Chocolate and Cookies","Alpha Sigma Alpha","Social, Fraternity and Sorority Life",2022-01-20 19:00:00.0,2022-01-20 20:00:00.0,"Burke 102","Get to know the sisters of Alpha Sigma Alpha and enjoy our hot chocolate bar and snacks!  Hosted by: Alpha Sigma Alpha  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7710383",CONFIRMED,https://behrend.campuslabs.com/engage/event/7710383
"Practice","Hockey Club","Athletics",2022-01-20 19:00:00.0,2022-01-20 20:15:00.0,"Mercyhurst Ice Center","PSB Hockey Practice  Hosted by: Hockey Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7419341",CONFIRMED,https://behrend.campuslabs.com/engage/event/7419341
"Disco Dodgeball in the Science Building","Cru","Athletics",2022-01-20 19:00:00.0,2022-01-20 21:00:00.0,"Fasenmyer Building Gym","Join Cru for some disco themed dodgeball in the Fasenmyer Building (bottom level of science building)!  Hosted by: Cru  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7714646",CONFIRMED,https://behrend.campuslabs.com/engage/event/7714646
"Bond Fire","Delta Chi","Social, Fraternity and Sorority Life",2022-01-20 19:00:00.0,2022-01-20 21:00:00.0,"Wilson Picnic Grove","Come and enjoy some smores with the brothers of Delta Chi at the Wilson picnic grove.  Hosted by: Delta Chi  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7738484",CONFIRMED,https://behrend.campuslabs.com/engage/event/7738484
"Bro Down, with the brothers of Triangle Fraternity","Triangle Fraternity","Social",2022-01-20 19:00:00.0,2022-01-20 22:00:00.0,"Border House","Come hangout with the brothers of Triangle at our house! Contact one of the brothers for the address.  Marcus James: Instagram - marcusj0930, Email: mcj5243@psu.edu Tyler Reilly: Instagram - tylerreilly15, Email: tir5159@psu.edu  Hosted by: Triangle Fraternity  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7696817",CONFIRMED,https://behrend.campuslabs.com/engage/event/7696817
"Cheerleading Practice","PSB Competitive Cheerleading","Athletics",2022-01-21 17:15:00.0,2022-01-21 19:30:00.0,"Fasenmyer","Cheerleading Practice  Hosted by: PSB Competitive Cheerleading  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7688477",CONFIRMED,https://behrend.campuslabs.com/engage/event/7688477
"Fashion Show Practice","Organization of African and Caribbean Students","Arts, Arts / Music, Cultural",2022-01-21 18:00:00.0,2022-01-21 20:30:00.0,"Junker Center 112 Aerobic Room","This is a time for preparation for the fashion show coming up for black history month.   Hosted by: Association of Black Collegians, National Society of Black Engineers, Organization of African and Caribbean Students  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7646696",CONFIRMED,https://behrend.campuslabs.com/engage/event/7646696
"Snow Tubing at Peek'n Peak Resort","International Student Services","ThoughtfulLearning, Late Night, Athletic, Cultural",2022-01-21 17:30:00.0,2022-01-21 20:30:00.0,"Peek'n Peak Resort","Join us for an evening of snow tubing at our local outdoor recreation mountain, Peek'n Peak Resort. Participants of this trip will get transportation to and from the resort and a two-hour tubing pass. Space is limited. By RSVPing you are not guaranteed a space, your space will be confirmed by a staff member of the International Student Services office.  If you have questions, you may reach out to rikihay@psu.edu.   Hosted by: International Student Services  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7673687",CONFIRMED,https://behrend.campuslabs.com/engage/event/7673687
"LEB Movie Night: Encanto","Lion Entertainment Board","Social, Arts / Music, Late Night, Movie, SAF/SGA Funded, On-Campus",2022-01-21 19:00:00.0,2022-01-21 21:00:00.0,"Reed 117","Join us for a viewing of Encanto, the newest Disney film at Reed 117 @7pm on January 21st! Refreshments will be provided!  Hosted by: Lion Entertainment Board  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7716362",CONFIRMED,https://behrend.campuslabs.com/engage/event/7716362
"PSB vs. Rochester","Hockey Club","Athletics",2022-01-21 19:00:00.0,2022-01-21 22:00:00.0,"@ Rochester","PSB plays against Rochester  Hosted by: Hockey Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7419259",CONFIRMED,https://behrend.campuslabs.com/engage/event/7419259
"PSB vs. Brockport","Hockey Club","Athletics",2022-01-22 19:00:00.0,2022-01-22 22:00:00.0,"@ Brockport","PSB plays against Brockport  Hosted by: Hockey Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7419288",CONFIRMED,https://behrend.campuslabs.com/engage/event/7419288
"Cheerleading Practice","PSB Competitive Cheerleading","Athletics",2022-01-23 14:00:00.0,2022-01-23 18:00:00.0,"Fasenmyer","Cheerleading practice   Hosted by: PSB Competitive Cheerleading  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7688476",CONFIRMED,https://behrend.campuslabs.com/engage/event/7688476
"Chapter Meeting","Theta Phi Alpha","GroupBusiness, Fraternity and Sorority Life",2022-01-23 18:00:00.0,2022-01-23 19:00:00.0,"Reed 114","Eboard and General Meeting for Members  Hosted by: Theta Phi Alpha  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7671657",CONFIRMED,https://behrend.campuslabs.com/engage/event/7671657
