summary, categories, startTime, endTime, location, description, status, URL
GASE General Meeting,"Social, Meeting, Cultural, On-Campus",2020-11-30 19:30:00.0,2020-11-30 20:30:00.0,MCC Suite,"Join the Gender and Sexuality Equality Club for weekly general business meetings!  Hosted by: Gender and Sexuality Equality Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5707166",CANCELLED,https://behrend.campuslabs.com/engage/event/5707166
GASE General Meeting,"Cultural",2020-11-30 19:30:00.0,2020-11-30 20:30:00.0,Online,"Come on out and join the GASE for the weekly general business meeting!  In accordance with new guidelines and regulations from the Administration  GASE will be holding all general meetings virtually via Zoom each week.   The full information to access the weekly general meetings will be posted in the organization Discord server. Please contact a member of the executive board to be invited to the server.  Hosted by: Gender and Sexuality Equality Club  Online Location: https://psu.zoom.us/j/94653829985?pwd=eW9jUDV2cDIGUEM1TkxGcCtUajINZz09  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6147393",CONFIRMED,https://behrend.campuslabs.com/engage/event/6147393
MCC General Meetings,"Cultural, Meeting",2020-11-30 20:00:00.0,2020-11-30 21:00:00.0,Online,"Join MCC for their general meetings every Monday at 8pm  Hosted by: Multi-Cultural Council  Online Location: https://psu.zoom.us/j/3377390575  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6212844",CONFIRMED,https://behrend.campuslabs.com/engage/event/6212844
"We Are" Engagement Event - Connection to Campus (UP & Commonwealth Campuses),"Cultural",2020-12-01 08:00:00.0,2020-12-01 09:00:00.0,Online,"All first-year students are welcome and encouraged to attend this event to learn about the culture of Penn State and meet other new students! The "We Are" Engagement Event series will happen every other Tuesday at 8 am (EST) and will cover a wide variety of Penn State culture topics (football  alumni and rankings  career workshops  and diversity).    Hosted by: International Student Services  Online Location: https://bit.ly/34AvLsh  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6435294",CONFIRMED,https://behrend.campuslabs.com/engage/event/6435294
Active Minds Executive Board Meeting,"GroupBusiness",2020-12-01 16:00:00.0,2020-12-01 16:30:00.0,reed 150,"Weekly executive board meeting   Hosted by: Active Minds  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5714185",CANCELLED,https://behrend.campuslabs.com/engage/event/5714185
Active Minds Executive Board Meeting,"GroupBusiness",2020-12-01 16:00:00.0,2020-12-01 16:30:00.0,Online,"Meeting for executive board  Hosted by: Active Minds  Online Location: https://psu.zoom.us/j/6050156580  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6146338",CANCELLED,https://behrend.campuslabs.com/engage/event/6146338
Active Minds Meeting,"GroupBusiness",2020-12-01 16:30:00.0,2020-12-01 17:30:00.0,reed 150,"Active Minds General meeting   Hosted by: Active Minds  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5714205",CANCELLED,https://behrend.campuslabs.com/engage/event/5714205
E-Board Meeting,"GroupBusiness",2020-12-01 17:00:00.0,2020-12-01 18:00:00.0,Burke 270,"AMA E-Board meetings   Hosted by: American Marketing Association at Behrend  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/5714157",CANCELLED,https://behrend.campuslabs.com/engage/event/5714157
AMA E-Board Meeting,"GroupBusiness, Black School of Business",2020-12-01 17:00:00.0,2020-12-01 18:00:00.0,Online,"AMA E-Board Meeting   Hosted by: American Marketing Association at Behrend  Online Location: https://psu.zoom.us/j/92266153662  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6146353",CONFIRMED,https://behrend.campuslabs.com/engage/event/6146353
Career Exploration - Internships and Apprenticeships at ERIE Insurance,"ThoughtfulLearning, Lecture / Speaker, Speaker Series, Black School of Business, Career Exploration",2020-12-01 17:00:00.0,2020-12-01 18:00:00.0,Online,"The Internship Program at ERIE Insurance is a 12-week program designed to give students experience in IT projects  exposure to different IT job families  and IT leadership.  The IT Intern program is the primary pipeline into the IT Apprentice program at ERIE  which is their main source for developing IT Analysts and Software Engineers  and also supports IT Administrators.  Join ERIE's Carl Parkin  Director of Talent Acquisition  to learn more about this program!  Hosted by: Management Information System Club  Online Location: https://psu.zoom.us/j/94061334964  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/6624637",CONFIRMED,https://behrend.campuslabs.com/engage/event/6624637
