summary, host, categories, startTime, endTime, location, description, status, URL
"Cheerleading Practice","PSB Competitive Cheerleading","Athletics, Athletic",2021-11-28 14:00:00.0,2021-11-28 18:00:00.0,"Fasenmyer","Cheerleading Practice  Hosted by: PSB Competitive Cheerleading  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7316419",CONFIRMED,https://behrend.campuslabs.com/engage/event/7316419
"E Board Meeting","Alpha Sigma Alpha","GroupBusiness",2021-11-28 18:30:00.0,2021-11-28 19:00:00.0,"Penn State Behrend Burke 106","General E Board Meeting  Hosted by: Alpha Sigma Alpha  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7159417",CONFIRMED,https://behrend.campuslabs.com/engage/event/7159417
"Chapter Meeting","Alpha Sigma Tau","GroupBusiness, Meeting",2021-11-28 18:30:00.0,2021-11-28 19:30:00.0,"Reed 114","Chapter will have weekly meeting.  Hosted by: Alpha Sigma Tau  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7126803",CONFIRMED,https://behrend.campuslabs.com/engage/event/7126803
"Chapter Meeting","Alpha Sigma Alpha","GroupBusiness",2021-11-28 19:00:00.0,2021-11-28 20:00:00.0,"Penn State Behrend Burke 106","General Weekly Chapter Meeting  Hosted by: Alpha Sigma Alpha  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7159423",CONFIRMED,https://behrend.campuslabs.com/engage/event/7159423
"BMG E-Board Meeting","Black Media Group","GroupBusiness, On-Campus",2021-11-29 16:00:00.0,2021-11-29 17:00:00.0,"Reed 150","BMG's E-board Meeting. To talk about club administrative issues and events.  Hosted by: Black Media Group  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7495434",CONFIRMED,https://behrend.campuslabs.com/engage/event/7495434
"MCC General Meetings","Multi-Cultural Council","Cultural, Meeting",2021-11-29 17:30:00.0,2021-11-29 18:30:00.0,"MCC Suite","Join MCC for their general meetings every Monday at 5:30pm  Hosted by: Multi-Cultural Council  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7154185",CONFIRMED,https://behrend.campuslabs.com/engage/event/7154185
"Psych Coalition Meetings","Psychology Club","Social",2021-11-29 18:00:00.0,2021-11-29 19:00:00.0,"Turnbull 203","Psych Club and Psi Chi meetings We occasionally will have speakers or small events, small events will be scheduled separately when necessary.  Hosted by: Psychology Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7505477",CONFIRMED,https://behrend.campuslabs.com/engage/event/7505477
"Chi Alpha's Monday Night Live","Chi Alpha Campus Ministry","Spirituality, Arts / Music, Religious / Spiritual, On-Campus",2021-11-29 19:30:00.0,2021-11-29 20:30:00.0,"Smith Chapel","Join us every Monday night at 7:30pm for Chi Alpha's worship service! Each week we will have the opportunity to come together to worship and hear a brief message from one of our Chi Alpha Campus Pastors. After service there will be time to get to meet others in Chi Alpha and find out more about what else we have going on during the week.  All students are welcome to attend. All present will be required to adhere the Behrend's COVID guidelines. For more information, follow and message us on Instagram or Facebook (@behrendxa).  Hosted by: Chi Alpha Campus Ministry   Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7098486",CONFIRMED,https://behrend.campuslabs.com/engage/event/7098486
"Behrend Benefiting THON Eboard Meeting","Behrend Benefiting THON","GroupBusiness, Meeting",2021-11-29 19:30:00.0,2021-11-29 20:30:00.0,"Reed 150","Weekly Eboard meeting for Behrend Benefiting THON  Hosted by: Behrend Benefiting THON  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7100704",CONFIRMED,https://behrend.campuslabs.com/engage/event/7100704
"GASE General Meeting","Gender and Sexuality Equality Club","GroupBusiness, Meeting, Cultural, On-Campus",2021-11-29 19:30:00.0,2021-11-29 20:30:00.0,"MCC Suite","Join Behrend's Gender and Sexuality Equality Club for their weekly general business meetings.  Hosted by: Gender and Sexuality Equality Club  Additional Information can be found at: https://behrend.campuslabs.com/engage/event/7185504",CONFIRMED,https://behrend.campuslabs.com/engage/event/7185504
